probe,50
zealot,100
sentry,50
stalker,125
hightemplar,50
darktemplar,125
immortal,250
colossus,300
archon,0
observer,25
warpprism,200
phoenix,150
void ray,250
carrier,350
mothership,300
photon cannon,150
oracle,150
tempest,300
mothership core,100
interceptor,25
scv,50
marine,50
marauder,100
reaper,50
ghost,200
hellion,100
siegetank,150
thor,300
viking,150
medivac,100
banshee,150
raven,100
battlecruiser,400
planetaryfortress,150
missileturret,100
widowmine,75
drone,50
zergling,50
queen,150
baneling,25
roach,75
overlord,100
overseer,50
hydralisk,100
spinecrawler,75
sporecrawler,75
mutalisk,100
corruptor,150
broodlord,150
broodling,0
infestor,100
infestedterran,0
ultralisk,300
nydusworm,100
swarmhost,200
viper,100
