probe,0
zealot,0
sentry,100
stalker,50
hightemplar,150
darktemplar,125
immortal,100
colossus,200
archon,0
observer,75
warpprism,0
phoenix,100
void ray,150
carrier,250
mothership,300
photon cannon,0
oracle,150
tempest,200
mothership core,100
interceptor,0
scv,0
marine,0
marauder,25
reaper,50
ghost,100
hellion,0
siegetank,125
thor,200
viking,75
medivac,100
banshee,100
raven,200
battlecruiser,300
planetaryfortress,150
missileturret,0
widowmine,25
drone,0
zergling,0
queen,0
baneling,25
roach,25
overlord,0
overseer,50
hydralisk,50
spinecrawler,0
sporecrawler,0
mutalisk,100
corruptor,100
broodlord,150
broodling,0
infestor,150
infestedterran,0
ultralisk,200
nydusworm,100
swarmhost,100
viper,200
