These weights gave the best results for league 3
probe	,0.426024
zealot	,0.616677
sentry	,0.999422
stalker	,0.784578
hightemplar	,1
darktemplar	,1
immortal	,1
colossus	,1
archon	,1
observer	,1
warpprism	,1
phoenix	,0.880194
void ray	,1
carrier	,1
mothership	,0.00601215
photon cannon	,0.373357
oracle	,0.945127
tempest	,1
mothership core	,1
interceptor	,0.619343
scv	,0.544326
marine	,0.194904
marauder	,0.358042
reaper	,0.348729
ghost	,0.115469
hellion	,0.547937
siegetank	,0.887299
thor	,1
viking	,0.280122
medivac	,0.792386
banshee	,0.987121
raven	,0.990091
battlecruiser	,0.996145
planetaryfortress	,0.551822
missileturret	,0.293841
widowmine	,0.336339
drone	,0.254421
zergling	,0.144499
queen	,0.987194
baneling	,0.252766
roach	,0.279275
overlord	,0.684063
overseer	,0.989942
hydralisk	,0.369011
spinecrawler	,0.0140536
sporecrawler	,0.0518806
mutalisk	,0.580225
corruptor	,0.1783
broodlord	,0.857707
broodling	,0.0236995
infestor	,0.349769
infestedterran	,0.232917
ultralisk	,1
nydusworm	,0.650051
swarmhost	,0.627337
viper	,0.659732
