These weights gave the best results for league 4
probe	,0.410054
zealot	,0.761171
sentry	,0.801063
stalker	,0.691582
hightemplar	,0.972416
darktemplar	,0.996261
immortal	,0.985144
colossus	,1
archon	,0.872331
observer	,0.917604
warpprism	,1
phoenix	,0.860675
void ray	,1
carrier	,0.984277
mothership	,0.221198
photon cannon	,0.344435
oracle	,0.99455
tempest	,0.993215
mothership core	,1
interceptor	,0.416303
scv	,0.587146
marine	,0.0727561
marauder	,0.27712
reaper	,0.102232
ghost	,0.215547
hellion	,0.207527
siegetank	,0.67312
thor	,0.970231
viking	,0.445688
medivac	,0.937196
banshee	,0.877717
raven	,0.956108
battlecruiser	,1
planetaryfortress	,1
missileturret	,0.439594
widowmine	,0.5222
drone	,0.27018
zergling	,0.156227
queen	,0.606555
baneling	,0.0430461
roach	,0.306705
overlord	,0.585672
overseer	,0.984277
hydralisk	,0.349471
spinecrawler	,0.00960027
sporecrawler	,0.0854374
mutalisk	,0.614715
corruptor	,0.24868
broodlord	,0.864561
broodling	,0.0566809
infestor	,0.336724
infestedterran	,0.902554
ultralisk	,0.948845
nydusworm	,0.746797
swarmhost	,0.77886
viper	,0.993215
