unit,avg,stdev,min,max,,1,2,3,4,5,6,7,8,9,10
probe	,0.487116,0.131159,0.204914,0.703305,,0.204914,0.416517,0.573717,0.403413,0.443648,0.478469,0.703305,0.601126,0.588676,0.457373,
zealot	,0.425701,0.116599,0.215118,0.618930,,0.215118,0.436134,0.436532,0.498726,0.322730,0.618930,0.469684,0.568762,0.308141,0.382252,
sentry	,0.830017,0.160914,0.590191,1.000000,,0.590191,0.997979,1.000000,1.000000,0.680312,0.883712,0.991057,0.734649,0.595320,0.826954,
stalker	,0.582743,0.147770,0.335170,0.914563,,0.335170,0.515117,0.552776,0.643190,0.461348,0.914563,0.682163,0.666412,0.540536,0.516153,
hightemplar	,0.989394,0.009435,0.973349,1.000000,,0.978611,1.000000,1.000000,0.987194,0.973349,1.000000,1.000000,0.983916,0.985810,0.985063,
darktemplar	,0.978451,0.035812,0.894525,1.000000,,0.894525,0.989453,1.000000,1.000000,0.923217,0.981947,1.000000,1.000000,0.997979,0.997389,
immortal	,0.984881,0.026916,0.910191,1.000000,,0.910191,1.000000,1.000000,0.992804,0.984215,1.000000,1.000000,0.966196,0.995409,1.000000,
colossus	,0.999234,0.001874,0.993755,1.000000,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998589,1.000000,0.993755,
archon	,0.995600,0.010413,0.964610,1.000000,,0.997251,0.996448,1.000000,0.997689,1.000000,0.964610,1.000000,1.000000,1.000000,1.000000,
observer	,0.865136,0.154482,0.492804,1.000000,,0.747170,0.954327,0.856350,0.984934,0.771674,1.000000,1.000000,0.492804,0.999914,0.844186,
warpprism	,0.975544,0.033634,0.890204,1.000000,,0.936983,0.996954,0.981376,0.890204,0.975834,0.983597,1.000000,1.000000,0.997761,0.992731,
phoenix	,0.519736,0.178960,0.297246,0.946688,,0.446962,0.386495,0.488112,0.615258,0.365110,0.946688,0.684875,0.297246,0.510418,0.456197,
void ray	,0.991968,0.010427,0.967166,1.000000,,0.977888,1.000000,0.967166,1.000000,1.000000,1.000000,0.991929,0.994355,0.994591,0.993755,
carrier	,0.940465,0.075182,0.796053,1.000000,,1.000000,0.997017,1.000000,1.000000,0.796053,0.994432,1.000000,0.841717,0.882034,0.893398,
mothership	,0.472768,0.269479,0.068484,0.856166,,0.856166,0.068484,0.449416,0.242958,0.264229,0.674490,0.739036,0.755028,0.124668,0.553209,
photon cannon	,0.268063,0.179033,0.021389,0.516828,,0.316492,0.488847,0.300413,0.516828,0.043346,0.410800,0.388119,0.065698,0.021389,0.128700,
oracle	,0.791274,0.193499,0.403021,1.000000,,0.926399,0.864609,0.494084,1.000000,0.825822,0.970654,0.808157,0.403021,0.939988,0.680011,
tempest	,0.951324,0.096725,0.672234,1.000000,,0.926898,1.000000,0.976910,1.000000,0.937196,1.000000,1.000000,1.000000,1.000000,0.672234,
mothership core	,0.748991,0.330531,0.083331,1.000000,,1.000000,0.911561,0.932811,0.990895,0.589947,0.960418,0.974440,0.173305,0.873198,0.083331,
interceptor	,0.404428,0.320286,0.014008,0.939604,,0.327067,0.230811,0.231727,0.422559,0.113804,0.846400,0.116428,0.801874,0.014008,0.939604,
scv	,0.525291,0.131125,0.261781,0.769389,,0.261781,0.445278,0.600782,0.472673,0.481216,0.579353,0.769389,0.583967,0.628504,0.429967,
marine	,0.239644,0.071110,0.091057,0.357529,,0.091057,0.270547,0.268652,0.227299,0.151372,0.220740,0.261844,0.357529,0.244705,0.302691,
marauder	,0.360777,0.046405,0.249735,0.421181,,0.249735,0.335104,0.399370,0.331148,0.372204,0.382155,0.421181,0.389979,0.340277,0.386623,
reaper	,0.812856,0.253773,0.295803,1.000000,,0.295803,1.000000,0.907131,0.381891,0.837121,0.715291,0.999933,0.999936,1.000000,0.991450,
ghost	,0.431507,0.248212,0.141518,0.906998,,0.678406,0.294026,0.141518,0.906998,0.399069,0.274004,0.234462,0.735256,0.172869,0.478460,
hellion	,0.783728,0.169191,0.395085,1.000000,,0.395085,0.757323,0.852150,0.650226,0.698334,0.826439,0.977486,1.000000,0.761958,0.918281,
siegetank	,0.984035,0.047894,0.840354,1.000000,,0.840354,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
thor	,0.946958,0.065068,0.790293,1.000000,,0.790293,1.000000,0.986847,0.867345,0.946395,0.995409,0.958334,1.000000,0.937196,0.987764,
viking	,0.302702,0.179417,0.068084,0.662281,,0.125053,0.411222,0.068084,0.480829,0.200776,0.312703,0.662281,0.372357,0.308096,0.085616,
medivac	,0.568065,0.129013,0.370276,0.771334,,0.486775,0.398052,0.679353,0.613182,0.685155,0.771334,0.575067,0.654917,0.370276,0.446539,
banshee	,0.994298,0.009540,0.967769,1.000000,,0.988231,0.996648,1.000000,1.000000,0.967769,1.000000,0.995168,1.000000,0.995168,1.000000,
raven	,0.957263,0.050082,0.857152,1.000000,,0.967227,0.968900,0.985763,0.997016,1.000000,0.996448,0.950762,0.865922,0.983444,0.857152,
battlecruiser	,0.937959,0.102691,0.652147,1.000000,,0.979526,0.888745,0.918834,0.940336,1.000000,1.000000,1.000000,1.000000,0.652147,1.000000,
planetaryfortress	,0.484657,0.315130,0.012682,0.950845,,0.012682,0.841944,0.786306,0.134428,0.472165,0.394952,0.135533,0.950845,0.371013,0.746704,
missileturret	,0.189338,0.045122,0.094668,0.261200,,0.094668,0.185298,0.261200,0.188062,0.215092,0.170875,0.206671,0.220064,0.133322,0.218133,
widowmine	,0.757923,0.185589,0.351019,0.998589,,0.351019,0.869441,0.902984,0.592343,0.574308,0.790433,0.907124,0.998589,0.792198,0.800793,
drone	,0.411944,0.137152,0.194916,0.720151,,0.194916,0.424928,0.553301,0.377996,0.279116,0.345738,0.720151,0.435987,0.420453,0.366857,
zergling	,0.139690,0.031410,0.067819,0.187800,,0.067819,0.142141,0.180658,0.135503,0.120509,0.142706,0.135279,0.187800,0.153956,0.130532,
queen	,0.541454,0.320454,0.000000,1.000000,,0.375654,0.000000,0.283529,0.615364,1.000000,1.000000,0.142696,0.652819,0.735924,0.608550,
baneling	,0.343496,0.068396,0.228441,0.446292,,0.228441,0.357012,0.446292,0.354819,0.266063,0.300496,0.435245,0.397780,0.287487,0.361327,
roach	,0.364069,0.090804,0.220718,0.559862,,0.220718,0.363597,0.466173,0.402814,0.289097,0.313287,0.559862,0.374261,0.312113,0.338768,
overlord	,0.235765,0.203444,0.000000,0.566879,,0.108158,0.095461,0.002239,0.065188,0.393634,0.566879,0.000000,0.457170,0.467971,0.200954,
overseer	,0.672033,0.329471,0.016718,1.000000,,0.306510,0.345097,0.638233,0.633663,0.871217,0.969211,0.016718,1.000000,0.973683,0.966002,
hydralisk	,0.396799,0.068502,0.291694,0.536575,,0.291694,0.408690,0.454368,0.466829,0.339749,0.374740,0.536575,0.391893,0.343003,0.360449,
spinecrawler	,0.069733,0.055951,0.001618,0.164932,,0.003936,0.129367,0.001618,0.094668,0.061423,0.013845,0.017599,0.086247,0.123696,0.164932,
sporecrawler	,0.076643,0.067968,0.000000,0.214488,,0.024947,0.059577,0.214488,0.142696,0.116782,0.092699,0.000000,0.002749,0.002239,0.110253,
mutalisk	,0.488139,0.100694,0.322511,0.686007,,0.322511,0.538279,0.573715,0.519872,0.449060,0.543222,0.686007,0.463451,0.376022,0.409253,
corruptor	,0.444039,0.151576,0.119119,0.646579,,0.516462,0.391109,0.295561,0.632661,0.119119,0.566462,0.646579,0.426506,0.448490,0.397441,
broodlord	,0.975751,0.036688,0.885185,1.000000,,0.885185,0.998268,0.995409,0.929560,0.972642,1.000000,1.000000,1.000000,0.996761,0.979681,
broodling	,0.002630,0.005489,0.000000,0.018338,,0.000000,0.018338,0.000000,0.000000,0.000000,0.002871,0.000000,0.000000,0.005087,0.000000,
infestor	,0.398730,0.208542,0.059581,0.778595,,0.164338,0.525579,0.599814,0.407220,0.059581,0.386043,0.158453,0.778595,0.447822,0.459857,
infestedterran	,0.381133,0.293630,0.110599,0.960387,,0.182348,0.436506,0.208777,0.788507,0.183935,0.124424,0.110599,0.641377,0.960387,0.174474,
ultralisk	,0.996571,0.004775,0.987715,1.000000,,0.987715,0.994067,1.000000,1.000000,0.995857,0.988071,1.000000,1.000000,1.000000,1.000000,
nydusworm	,0.906022,0.207788,0.287864,1.000000,,0.287864,1.000000,0.940373,0.999731,1.000000,0.943799,0.942741,1.000000,0.945708,1.000000,
swarmhost	,0.675034,0.149799,0.444801,0.895817,,0.444801,0.801969,0.766388,0.712217,0.515733,0.705542,0.895817,0.845287,0.541012,0.521579,
viper	,0.549286,0.295027,0.050273,0.932882,,0.303890,0.932882,0.776794,0.243343,0.304912,0.906066,0.823923,0.050273,0.624724,0.526052,
Based on learned 1: 60410 out of 90048
Based on learned 2: 60331 out of 90048
Based on learned 3: 60131 out of 90048
Based on learned 4: 60104 out of 90048
Based on learned 5: 60020 out of 90048
Based on learned 6: 59977 out of 90048
Based on learned 7: 59948 out of 90048
Based on learned 8: 59943 out of 90048
Based on learned 9: 59926 out of 90048
Based on learned 10: 59920 out of 90048
